Date/Time,Mouse Position
2023-06-17 20:46:43.151320,"(1306, 122)"
2023-06-17 20:46:43.172712,"(1306, 121)"
2023-06-17 20:46:43.437008,"(1306, 117)"
2023-06-17 20:46:43.457952,"(1306, 103)"
2023-06-17 20:46:43.478896,"(1307, 90)"
2023-06-17 20:46:43.499840,"(1309, 76)"
2023-06-17 20:46:43.521649,"(1310, 67)"
2023-06-17 20:46:43.544591,"(1311, 58)"
2023-06-17 20:46:43.570518,"(1311, 44)"
2023-06-17 20:46:43.591494,"(1312, 33)"
2023-06-17 20:46:43.612438,"(1313, 27)"
2023-06-17 20:46:43.633383,"(1313, 24)"
2023-06-17 20:46:43.654330,"(1314, 19)"
2023-06-17 20:46:43.675273,"(1315, 13)"
2023-06-17 20:46:43.696215,"(1318, 9)"
2023-06-17 20:46:43.717124,"(1320, 7)"
2023-06-17 20:46:43.738068,"(1324, 4)"
2023-06-17 20:46:43.759013,"(1327, 1)"
2023-06-17 20:46:43.779990,"(1328, 0)"
2023-06-17 20:46:43.801840,"(1329, 0)"
